"Name","Region","state","summit_elev","vertical_drop","base_elev","trams","fastSixes","fastQuads","quad","triple","double","surface","total_chairs","Runs","TerrainParks","LongestRun_mi","SkiableTerrain_ac","Snow Making_ac","daysOpenLastYear","yearsOpen","averageSnowfall","AdultWeekend","projectedDaysOpen","NightSkiing_ac"
"Alyeska Resort","Alaska","Alaska","3939","2500","250","1","0","2","2","0","0","2","7","76","2","1","1610","113","150","60","669","85","150","550"
"Eaglecrest Ski Area","Alaska","Alaska","2600","1540","1200","0","0","0","0","0","4","0","4","36","1","2","640","60","45","44","350","53","90",""
"Hilltop Ski Area","Alaska","Alaska","2090","294","1796","0","0","0","0","1","0","2","3","13","1","1","30","30","150","36","69","34","152","30"
"Arizona Snowbowl","Arizona","Arizona","11500","2300","9200","0","1","0","2","2","1","2","8","55","4","2","777","104","122","81","260","89","122",""
"Sunrise Park Resort","Arizona","Arizona","11100","1800","9200","0","0","1","2","3","1","0","7","65","2","1.2","800","80","115","49","250","78","104","80"
"Yosemite Ski & Snowboard Area","Northern California","California","7800","600","7200","0","0","0","0","1","3","1","5","10","2","0.4","88","","110","84","300","47","107",""
"Dodge Ridge","Sierra Nevada","California","8200","1600","6600","0","0","0","1","2","5","4","12","67","5","2","862","","","69","350","78","140",""
"Donner Ski Ranch","Sierra Nevada","California","8012","750","7031","0","0","0","0","1","5","2","8","52","2","1.5","505","60","163","82","400","75","170",""
"Mammoth Mountain Ski Area","Sierra Nevada","California","11053","3100","7953","3","2","9","1","6","4","0","25","154","7","3","3500","700","243","66","400","159","",""
"Mt. Shasta Ski Park","Sierra Nevada","California","6890","1435","5500","0","0","0","0","3","0","1","4","32","2","1.1","425","225","140","34","300","59","130",""
"Mountain High","Sierra Nevada","California","8200","1600","6600","0","0","2","2","2","5","3","14","59","1","1.6","290","275","118","95","108","84","150","73"
"Mt. Baldy","Sierra Nevada","California","8600","2100","6500","0","0","0","0","0","4","0","4","26","","2.5","400","80","175","67","178","69","200",""
"Ski China Peak","Sierra Nevada","California","8709","1679","7030","0","0","0","1","4","2","4","11","45","1","2.2","1400","150","140","62","300","83","144",""
"Snow Valley","Sierra Nevada","California","7841","1041","6800","0","0","0","0","5","6","1","12","28","6","1.2","240","188","111","82","160","79","143","164"
"Soda Springs","Sierra Nevada","California","7352","652","6700","0","0","0","0","1","1","2","4","18","","0.4","200","20","150","83","400","50","144",""
"Sugar Bowl Resort","Sierra Nevada","California","8383","1500","6883","1","0","5","3","1","0","2","12","105","3","3","1650","375","151","80","500","125","150",""
"Tahoe Donner","Sierra Nevada","California","7350","600","6750","0","0","0","1","1","0","3","5","14","2","1","120","","150","48","400","69","144",""
"Arapahoe Basin Ski Area","Colorado","Colorado","13050","2530","10780","0","0","1","2","1","2","3","9","145","3","1.5","1428","125","230","73","350","85","233",""
"Aspen / Snowmass","Colorado","Colorado","12510","4406","8104","3","1","15","4","3","5","9","40","336","10","5.3","5517","658","138","72","300","179","138",""
"Copper Mountain Resort","Colorado","Colorado","12313","2738","9712","1","2","4","0","4","4","9","24","150","6","1.7","2527","364","164","47","300","158","164",""
